stock,amt,close,date
data/BSESN.csv,1000,52907.9296875,2022-07-01
data/BSESN.csv,1000,58115.5,2022-08-01
data/BSESN.csv,1000,58766.58984375,2022-09-01
data/BSESN.csv,1000,56788.80859375,2022-10-03
data/BSESN.csv,1000,61121.3515625,2022-11-01
data/BSESN.csv,1000,63284.19140625,2022-12-01
data/BSESN.csv,1000,61167.7890625,2023-01-02
data/BSESN.csv,1000,59708.078125,2023-02-01
data/BSESN.csv,1000,59411.078125,2023-03-01
data/BSESN.csv,1000,59106.44140625,2023-04-03
data/BSESN.csv,1000,61354.7109375,2023-05-01
data/BSESN.csv,1000,62428.5390625,2023-06-01
