past_month,stock
2021-06,MARUTI.NS.csv
2021-06,BAJFINANCE.NS.csv
2021-06,ULTRACEMCO.NS.csv
2021-06,TCS.NS.csv
2021-06,INFY.NS.csv
2021-07,ULTRACEMCO.NS.csv
2021-07,NESTLEIND.NS.csv
2021-07,BAJAJFINSV.NS.csv
2021-07,BAJFINANCE.NS.csv
2021-07,LT.NS.csv
2021-08,NESTLEIND.NS.csv
2021-08,BAJFINANCE.NS.csv
2021-08,TCS.NS.csv
2021-08,HINDUNILVR.NS.csv
2021-08,BAJAJFINSV.NS.csv
2021-09,MARUTI.NS.csv
2021-09,KOTAKBANK.NS.csv
2021-09,BAJFINANCE.NS.csv
2021-09,RELIANCE.NS.csv
2021-09,INDUSINDBK.NS.csv
2021-10,TITAN.NS.csv
2021-10,HDFC.NS.csv
2021-10,KOTAKBANK.NS.csv
2021-10,TECHM.NS.csv
2021-10,TATAMOTORS.NS.csv
2021-11,NESTLEIND.NS.csv
2021-11,ASIANPAINT.NS.csv
2021-11,BHARTIARTL.NS.csv
2021-11,TECHM.NS.csv
2021-11,POWERGRID.NS.csv
2021-12,ASIANPAINT.NS.csv
2021-12,TECHM.NS.csv
2021-12,INFY.NS.csv
2021-12,HCLTECH.NS.csv
2021-12,TCS.NS.csv
2022-01,MARUTI.NS.csv
2022-01,M&M.NS.csv
2022-01,SBIN.NS.csv
2022-01,AXISBANK.NS.csv
2022-01,ICICIBANK.NS.csv
2022-02,TITAN.NS.csv
2022-02,TATASTEEL.NS.csv
2022-02,NTPC.NS.csv
2022-02,RELIANCE.NS.csv
2022-02,POWERGRID.NS.csv
2022-03,BAJFINANCE.NS.csv
2022-03,ULTRACEMCO.NS.csv
2022-03,MARUTI.NS.csv
2022-03,RELIANCE.NS.csv
2022-03,ASIANPAINT.NS.csv
2022-04,NESTLEIND.NS.csv
2022-04,RELIANCE.NS.csv
2022-04,MARUTI.NS.csv
2022-04,M&M.NS.csv
2022-04,HINDUNILVR.NS.csv
2022-05,MARUTI.NS.csv
2022-05,HINDUNILVR.NS.csv
2022-05,KOTAKBANK.NS.csv
2022-05,NESTLEIND.NS.csv
2022-05,HDFC.NS.csv
2022-06,MARUTI.NS.csv
2022-06,NESTLEIND.NS.csv
2022-06,M&M.NS.csv
2022-06,HINDUNILVR.NS.csv
2022-06,ITC.NS.csv
2022-07,BAJFINANCE.NS.csv
2022-07,NESTLEIND.NS.csv
2022-07,ULTRACEMCO.NS.csv
2022-07,ASIANPAINT.NS.csv
2022-07,TITAN.NS.csv
2022-08,BAJAJFINSV.NS.csv
2022-08,TITAN.NS.csv
2022-08,LT.NS.csv
2022-08,NESTLEIND.NS.csv
2022-08,RELIANCE.NS.csv
2022-09,BAJFINANCE.NS.csv
2022-09,HINDUNILVR.NS.csv
2022-09,INDUSINDBK.NS.csv
2022-09,SUNPHARMA.NS.csv
2022-09,BHARTIARTL.NS.csv
2022-10,NESTLEIND.NS.csv
2022-10,MARUTI.NS.csv
2022-10,ULTRACEMCO.NS.csv
2022-10,AXISBANK.NS.csv
2022-10,RELIANCE.NS.csv
2022-11,HDFC.NS.csv
2022-11,TCS.NS.csv
2022-11,HDFCBANK.NS.csv
2022-11,INFY.NS.csv
2022-11,RELIANCE.NS.csv
2022-12,INDUSINDBK.NS.csv
2022-12,AXISBANK.NS.csv
2022-12,HDFCBANK.NS.csv
2022-12,TATASTEEL.NS.csv
2022-12,ITC.NS.csv
2023-01,MARUTI.NS.csv
2023-01,TCS.NS.csv
2023-01,LT.NS.csv
2023-01,HCLTECH.NS.csv
2023-01,M&M.NS.csv
2023-02,BAJFINANCE.NS.csv
2023-02,TECHM.NS.csv
2023-02,ULTRACEMCO.NS.csv
2023-02,RELIANCE.NS.csv
2023-02,BAJAJFINSV.NS.csv
2023-03,NESTLEIND.NS.csv
2023-03,ULTRACEMCO.NS.csv
2023-03,TITAN.NS.csv
2023-03,HINDUNILVR.NS.csv
2023-03,LT.NS.csv
2023-04,NESTLEIND.NS.csv
2023-04,BAJFINANCE.NS.csv
2023-04,KOTAKBANK.NS.csv
2023-04,ASIANPAINT.NS.csv
2023-04,TITAN.NS.csv
2023-05,BAJFINANCE.NS.csv
2023-05,MARUTI.NS.csv
2023-05,ULTRACEMCO.NS.csv
2023-05,ASIANPAINT.NS.csv
2023-05,HINDUNILVR.NS.csv
